mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,mean_test_score,std_test_score,rank_test_score
35.40527634393601,6.976532106499207,1.559128000622704,1.124647050192036,0.025,{'svc__C': 0.025},0.5724789915966386,0.7857142857142857,0.82125,0.9309090909090909,0.5135658914728682,0.8688524590163934,0.9770642201834863,0.8564814814814815,0.9637681159420289,0.9591836734693877,0.7956989247311828,0.928125,0.8104575163398693,0.8020833333333334,0.8448275862068966,0.8125,0.9797979797979798,0.921875,0.8869047619047619,0.4230769230769231,0.39705882352941174,0.8024606694621914,0.1719354565449062,10
30.485206717536563,4.496059713395268,1.38867229507083,1.0401552944859902,0.05,{'svc__C': 0.05},0.5945378151260504,0.7912087912087912,0.83375,0.9345454545454546,0.5135658914728682,0.8688524590163934,0.9770642201834863,0.8541666666666666,0.9541062801932367,0.9617346938775511,0.803763440860215,0.9375,0.8137254901960784,0.8194444444444444,0.8491379310344828,0.8258928571428571,0.9848484848484849,0.9375,0.9166666666666666,0.40384615384615385,0.4117647058823529,0.8089344022482015,0.1728965733588882,9
28.97882452465239,6.628435209312399,1.3564590499514626,0.9762874054416454,0.07500000000000001,{'svc__C': 0.07500000000000001},0.6060924369747899,0.7923076923076923,0.8375,0.94,0.5135658914728682,0.8688524590163934,0.981651376146789,0.8495370370370371,0.9565217391304348,0.9617346938775511,0.8252688172043011,0.940625,0.8137254901960784,0.8333333333333334,0.8577586206896551,0.8303571428571429,0.98989898989899,0.921875,0.9345238095238095,0.3974358974358974,0.39705882352941174,0.8118868690777228,0.17566120584031245,8
27.751019466490973,5.018099495383828,1.3068626494634719,0.9037263949441746,0.1,{'svc__C': 0.1},0.6144957983193278,0.789010989010989,0.8375,0.94,0.5135658914728682,0.8709016393442623,0.9747706422018348,0.8425925925925926,0.9565217391304348,0.9591836734693877,0.8306451612903226,0.946875,0.8137254901960784,0.8472222222222222,0.8620689655172413,0.8348214285714286,0.98989898989899,0.921875,0.9345238095238095,0.3974358974358974,0.38235294117647056,0.8123803748273408,0.1768887922000714,6
24.3943992909931,2.31005601663499,1.0744437603723436,0.5754890836134493,0.125,{'svc__C': 0.125},0.6176470588235294,0.7857142857142857,0.835,0.94,0.5155038759689923,0.8729508196721312,0.9747706422018348,0.8402777777777778,0.9565217391304348,0.9591836734693877,0.8360215053763441,0.946875,0.8137254901960784,0.8541666666666666,0.8663793103448276,0.8348214285714286,0.9848484848484849,0.9322916666666666,0.9345238095238095,0.3974358974358974,0.36764705882352944,0.8126812472005766,0.17855699684032333,4
22.772013425827026,1.591148456156492,1.0261050292423792,0.5566349088564753,0.15000000000000002,{'svc__C': 0.15000000000000002},0.6218487394957983,0.7791208791208791,0.8375,0.9472727272727273,0.5232558139534884,0.8709016393442623,0.9724770642201835,0.8333333333333334,0.9565217391304348,0.9591836734693877,0.8360215053763441,0.95,0.8137254901960784,0.8541666666666666,0.8663793103448276,0.8348214285714286,0.9848484848484849,0.9270833333333334,0.9345238095238095,0.3974358974358974,0.38235294117647056,0.8134654512768493,0.17609729266967303,1
22.602256684076217,1.7004151187722443,1.0089964412507557,0.5456896877081895,0.17500000000000002,{'svc__C': 0.17500000000000002},0.6271008403361344,0.7758241758241758,0.8375,0.9454545454545454,0.5213178294573644,0.8709016393442623,0.9678899082568807,0.8240740740740741,0.9589371980676329,0.9591836734693877,0.8387096774193549,0.95,0.8104575163398693,0.8611111111111112,0.8663793103448276,0.8303571428571429,0.9848484848484849,0.9322916666666666,0.9404761904761905,0.3974358974358974,0.36764705882352944,0.8127570447908349,0.1779837868520591,3
22.52921123731704,0.9684636931902832,1.037366503760928,0.6881536280049906,0.2,{'svc__C': 0.2},0.6334033613445378,0.7714285714285715,0.84,0.9454545454545454,0.5213178294573644,0.8729508196721312,0.9678899082568807,0.8101851851851852,0.9565217391304348,0.9591836734693877,0.8387096774193549,0.95,0.8071895424836601,0.8645833333333334,0.8663793103448276,0.8303571428571429,0.9848484848484849,0.9270833333333334,0.9404761904761905,0.3974358974358974,0.36764705882352944,0.8120497907026092,0.17754704246721123,7
21.923036915915354,1.4314898620857066,0.9742276782081241,0.5320904886706086,0.225,{'svc__C': 0.225},0.6323529411764706,0.7703296703296704,0.8425,0.9472727272727273,0.5213178294573644,0.875,0.9678899082568807,0.8055555555555556,0.9589371980676329,0.9540816326530612,0.8413978494623656,0.953125,0.8104575163398693,0.8715277777777778,0.8663793103448276,0.8303571428571429,0.9848484848484849,0.9270833333333334,0.9464285714285714,0.3974358974358974,0.36764705882352944,0.8129488288295791,0.17807580778260876,2
21.890344914935884,1.209230903485782,1.0003068220047724,0.5649725147202758,0.25,{'svc__C': 0.25},0.6355042016806722,0.765934065934066,0.84375,0.9490909090909091,0.5232558139534884,0.875,0.9655963302752294,0.8009259259259259,0.9589371980676329,0.9540816326530612,0.8413978494623656,0.95625,0.8071895424836601,0.8715277777777778,0.8706896551724138,0.8303571428571429,0.9848484848484849,0.921875,0.9404761904761905,0.3974358974358974,0.36764705882352944,0.8124652703294498,0.1776424049493714,5
