mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,mean_test_score,std_test_score,rank_test_score
38.6416369775931,7.771334894534505,1.2915471494197845,0.7356867908841082,0.025,{'svc__C': 0.025},0.5745798319327731,0.8,0.80625,0.9290909090909091,0.5542635658914729,0.8627049180327869,0.9770642201834863,0.875,0.9589371980676329,0.9693877551020408,0.782258064516129,0.90625,0.8104575163398693,0.8055555555555556,0.8767605633802817,0.9592592592592593,0.8663793103448276,0.7767857142857143,0.9646464646464646,0.8333333333333334,0.8690476190476191,0.4166666666666667,0.4411764705882353,0.39705882352941174,0.7922047399914361,0.17562982552884157,7
32.776575764020286,2.329172305590944,1.2772659659385681,0.8172365226212577,0.05,{'svc__C': 0.05},0.5976890756302521,0.8065934065934066,0.825,0.9454545454545454,0.5658914728682171,0.8586065573770492,0.9678899082568807,0.8657407407407407,0.961352657004831,0.9668367346938775,0.8091397849462365,0.925,0.8202614379084967,0.8506944444444444,0.8732394366197183,0.8666666666666667,0.875,0.7991071428571429,0.9797979797979798,0.8541666666666666,0.8869047619047619,0.41025641025641024,0.47058823529411764,0.38235294117647056,0.798509625298288,0.17309676221469247,1
29.320322920878727,1.8541515905285713,1.105245480934779,0.6245285394114675,0.07500000000000001,{'svc__C': 0.07500000000000001},0.6071428571428571,0.7978021978021979,0.82875,0.9472727272727273,0.5678294573643411,0.860655737704918,0.9610091743119266,0.8634259259259259,0.9637681159420289,0.9719387755102041,0.8145161290322581,0.934375,0.8202614379084967,0.8541666666666666,0.8591549295774648,0.8074074074074075,0.8793103448275862,0.8035714285714286,0.9848484848484849,0.875,0.8869047619047619,0.40384615384615385,0.47058823529411764,0.38235294117647056,0.7977457870849344,0.17346937902164689,2
29.619875242312748,3.8274173529489524,1.1137629548708599,0.6025472637968188,0.1,{'svc__C': 0.1},0.6113445378151261,0.7868131868131868,0.8275,0.9509090909090909,0.5717054263565892,0.8627049180327869,0.9587155963302753,0.8564814814814815,0.9589371980676329,0.9693877551020408,0.8225806451612904,0.934375,0.8169934640522876,0.8506944444444444,0.8626760563380281,0.7777777777777778,0.8836206896551724,0.7991071428571429,0.9797979797979798,0.8697916666666666,0.8869047619047619,0.391025641025641,0.4852941176470588,0.38235294117647056,0.7957288133088722,0.17267034865962672,3
25.960944523413975,1.5984041263646038,0.9939301709334055,0.5617926740514012,0.125,{'svc__C': 0.125},0.6134453781512605,0.7747252747252747,0.8275,0.9472727272727273,0.5736434108527132,0.8668032786885246,0.9472477064220184,0.8587962962962963,0.9589371980676329,0.9642857142857143,0.8306451612903226,0.93125,0.8169934640522876,0.8611111111111112,0.8626760563380281,0.7518518518518519,0.8793103448275862,0.7946428571428571,0.9747474747474747,0.8802083333333334,0.8869047619047619,0.38461538461538464,0.47794117647058826,0.39705882352941174,0.7942755744157152,0.17176715564358683,4
25.315959831078846,1.419438677991691,0.9755328297615051,0.544178138710424,0.15000000000000002,{'svc__C': 0.15000000000000002},0.6144957983193278,0.7648351648351648,0.83,0.9472727272727273,0.5736434108527132,0.8688524590163934,0.944954128440367,0.8564814814814815,0.9589371980676329,0.9617346938775511,0.8387096774193549,0.93125,0.8235294117647058,0.875,0.8591549295774648,0.7333333333333333,0.8793103448275862,0.7857142857142857,0.9696969696969697,0.875,0.8928571428571429,0.38461538461538464,0.47794117647058826,0.38235294117647056,0.7929030274840269,0.17341054708732567,6
24.613831559816997,1.496541994101438,0.9506451884905497,0.5332767625230136,0.17500000000000002,{'svc__C': 0.17500000000000002},0.615546218487395,0.7582417582417582,0.83125,0.9472727272727273,0.5794573643410853,0.8770491803278688,0.9426605504587156,0.8587962962962963,0.9516908212560387,0.9668367346938775,0.8413978494623656,0.928125,0.8235294117647058,0.8784722222222222,0.8591549295774648,0.7148148148148148,0.8836206896551724,0.78125,0.9696969696969697,0.8697916666666666,0.8928571428571429,0.38461538461538464,0.49264705882352944,0.38235294117647056,0.7929636555295282,0.17237852952032748,5
24.137898564338684,1.377771677605226,0.9250537157058716,0.5264078848381801,0.2,{'svc__C': 0.2},0.6134453781512605,0.7472527472527473,0.8275,0.9436363636363636,0.5755813953488372,0.8770491803278688,0.9403669724770642,0.8541666666666666,0.9516908212560387,0.9642857142857143,0.8413978494623656,0.928125,0.826797385620915,0.875,0.8556338028169014,0.7,0.8793103448275862,0.7857142857142857,0.9646464646464646,0.8802083333333334,0.8988095238095238,0.38461538461538464,0.49264705882352944,0.38235294117647056,0.791259733927055,0.17258849234822027,9
23.81306079030037,1.56216901272919,0.918693353732427,0.513428873746853,0.225,{'svc__C': 0.225},0.6144957983193278,0.7384615384615385,0.82625,0.9454545454545454,0.5794573643410853,0.8770491803278688,0.9426605504587156,0.8518518518518519,0.9541062801932367,0.9617346938775511,0.8440860215053764,0.928125,0.8300653594771242,0.8854166666666666,0.8556338028169014,0.6925925925925925,0.8793103448275862,0.78125,0.9646464646464646,0.875,0.8988095238095238,0.391025641025641,0.5073529411764706,0.38235294117647056,0.7919662126252724,0.17123082307944879,8
23.684925357500713,1.537937758627394,0.9079300065835317,0.5046375962986057,0.25,{'svc__C': 0.25},0.6176470588235294,0.721978021978022,0.82625,0.9454545454545454,0.5755813953488372,0.8811475409836066,0.9426605504587156,0.8449074074074074,0.9492753623188406,0.9617346938775511,0.8440860215053764,0.928125,0.8300653594771242,0.8819444444444444,0.852112676056338,0.674074074074074,0.8793103448275862,0.7767857142857143,0.9646464646464646,0.875,0.8988095238095238,0.391025641025641,0.5073529411764706,0.39705882352941174,0.7902930668962177,0.170272394816782,10
