SVM,KNN
0.8564814814814815,0.9074074074074074
0.8035714285714286,0.7619047619047619
0.9336734693877551,0.8673469387755102
0.8279569892473119,0.7983870967741935
0.9327272727272727,0.8690909090909091
0.45588235294117646,0.5955882352941176
0.959375,0.946875
0.721978021978022,0.6571428571428571
0.5666666666666667,0.6037037037037037
0.8899082568807339,0.9128440366972477
0.9025,0.78875
0.6102941176470589,0.5997899159663865
0.7131782945736435,0.5968992248062015
0.4358974358974359,0.5448717948717948
0.6741071428571429,0.4375
0.29411764705882354,0.38235294117647056
0.8680555555555556,0.7361111111111112
0.8300653594771242,0.7973856209150327
0.9267241379310345,0.896551724137931
0.7077464788732394,0.8309859154929577
0.7552083333333334,0.625
0.9646464646464646,0.9545454545454546
0.9178743961352657,0.8333333333333334
0.8852459016393442,0.875
