chb,all channels,2_3_6_7_14_15 channels,2_3_6_7_14_15_5_1 channels
1.0,0.9004629629629629,0.8657407407407407,0.8842592592592593
2.0,0.7738095238095238,0.8869047619047619,0.8571428571428571
3.0,0.9336734693877551,0.8724489795918368,0.8826530612244898
4.0,0.8064516129032258,0.706989247311828,0.7795698924731183
5.0,0.88,0.8618181818181818,0.8636363636363636
6.0,0.5882352941176471,0.4632352941176471,0.4338235294117647
7.0,0.946875,0.91875,0.940625
8.0,0.7692307692307693,0.7318681318681318,0.7483516483516484
9.0,0.8333333333333334,0.8407407407407408,0.8074074074074075
10.0,0.9151376146788991,0.8669724770642202,0.8830275229357798
11.0,0.76,0.85125,0.8475
12.0,0.582983193277311,0.5976890756302521,0.5987394957983193
13.0,0.5833333333333334,0.5794573643410853,0.5852713178294574
14.0,0.5512820512820513,0.4551282051282051,0.4935897435897436
15.0,0.3705357142857143,0.375,0.36160714285714285
16.0,0.35294117647058826,0.3382352941176471,0.3235294117647059
17.0,0.7395833333333334,0.7986111111111112,0.7916666666666666
18.0,0.7941176470588235,0.7745098039215687,0.7450980392156863
19.0,0.9008620689655172,0.875,0.8405172413793104
20.0,0.8169014084507042,0.8556338028169014,0.8485915492957746
21.0,0.7864583333333334,0.7864583333333334,0.734375
22.0,0.9494949494949495,0.9393939393939394,0.9494949494949495
23.0,0.9130434782608695,0.9082125603864735,0.9227053140096618
24.0,0.8647540983606558,0.860655737704918,0.8709016393442623
