,todos_os_canais,melhores_6_canais
0,0.6029411764705882,0.5913865546218487
1,0.6747252747252748,0.6131868131868132
2,0.79,0.76
3,0.8945454545454545,0.8781818181818182
4,0.5949612403100775,0.5523255813953488
5,0.8790983606557377,0.860655737704918
6,0.9174311926605505,0.9151376146788991
7,0.9328703703703703,0.9050925925925926
8,0.8236714975845411,0.9033816425120773
9,0.8698979591836735,0.8520408163265306
10,0.7903225806451613,0.7768817204301075
11,0.946875,0.921875
12,0.7875816993464052,0.7843137254901961
13,0.7326388888888888,0.7291666666666666
14,0.8450704225352113,0.8133802816901409
15,0.5888888888888889,0.8555555555555555
16,0.896551724137931,0.8362068965517241
17,0.5,0.6428571428571429
18,0.9494949494949495,0.9444444444444444
19,0.6145833333333334,0.6927083333333334
20,0.7619047619047619,0.7380952380952381
21,0.5192307692307693,0.391025641025641
22,0.5882352941176471,0.5735294117647058
23,0.4117647058823529,0.38235294117647056
