,fs20,6_ch
0,0.4810924369747899,0.5787815126050421
1,0.6043956043956044,0.8
2,0.5675,0.82375
3,0.5236363636363637,0.9363636363636364
4,0.4476744186046512,0.5368217054263565
5,0.4774590163934426,0.8647540983606558
6,0.518348623853211,0.9701834862385321
7,0.5162037037037037,0.8611111111111112
8,0.538647342995169,0.9637681159420289
9,0.6224489795918368,0.951530612244898
10,0.5053763440860215,0.7956989247311828
11,0.51875,0.9375
12,0.5032679738562091,0.803921568627451
13,0.5729166666666666,0.7881944444444444
14,0.5704225352112676,0.852112676056338
15,0.5037037037037037,0.8666666666666667
16,0.5,0.853448275862069
17,0.49107142857142855,0.7901785714285714
18,0.5757575757575758,0.9797979797979798
19,0.5052083333333334,0.8854166666666666
20,0.5297619047619048,0.875
21,0.5192307692307693,0.4230769230769231
22,0.45588235294117646,0.40441176470588236
23,0.4852941176470588,0.4117647058823529
